"Collected","Badge","Card","Booster Only","Badge Section","Effects","Wiki URL","Image URL"
"","Starter Badge","Snail Familiar","FALSE","Does Not Require Booster Packs","Max HP: +5","https://maplestorywiki.net/w/Snail#Lith_Harbor","https://media.maplestorywiki.net/yetidb/Use_Snail_Familiar.png"
"","Starter Badge","Blue Snail Familiar","FALSE","Does Not Require Booster Packs","Max HP: +5","https://maplestorywiki.net/w/Blue_Snail#Lith_Harbor","https://media.maplestorywiki.net/yetidb/Use_Blue_Snail_Familiar.png"
"","Starter Badge","Spore Familiar","FALSE","Does Not Require Booster Packs","Max HP: +5","https://maplestorywiki.net/w/Spore#Lith_Harbor","https://media.maplestorywiki.net/yetidb/Use_Spore_Familiar.png"
"","Starter Badge","Red Snail Familiar","FALSE","Does Not Require Booster Packs","Max HP: +5","https://maplestorywiki.net/w/Red_Snail#Lith_Harbor","https://media.maplestorywiki.net/yetidb/Use_Red_Snail_Familiar.png"
"","Snowflake Badge","Muru Familiar","FALSE","Does Not Require Booster Packs","Max HP: +5","https://maplestorywiki.net/w/Muru#Rien","https://media.maplestorywiki.net/yetidb/Use_Muru_Familiar.png"
"","Snowflake Badge","Murupa Familiar","FALSE","Does Not Require Booster Packs","Max HP: +5","https://maplestorywiki.net/w/Murupa#Rien","https://media.maplestorywiki.net/yetidb/Use_Murupa_Familiar.png"
"","Snowflake Badge","Murupia Familiar","FALSE","Does Not Require Booster Packs","Max HP: +5","https://maplestorywiki.net/w/Murupia#Rien","https://media.maplestorywiki.net/yetidb/Use_Murupia_Familiar.png"
"","Snowflake Badge","Murumuru Familiar","FALSE","Does Not Require Booster Packs","Max HP: +5","https://maplestorywiki.net/w/Murumuru#Rien","https://media.maplestorywiki.net/yetidb/Use_Murumuru_Familiar.png"
"","Snowflake Badge","Murukun Familiar","FALSE","Does Not Require Booster Packs","Max HP: +5","https://maplestorywiki.net/w/Murukun#Rien","https://media.maplestorywiki.net/yetidb/Use_Murukun_Familiar.png"
"","Oppressor Badge","Potted Sprout Familiar","FALSE","Does Not Require Booster Packs","Max HP: +5","https://maplestorywiki.net/w/Potted_Sprout#Edelstein","https://media.maplestorywiki.net/yetidb/Use_Potted_Sprout_Familiar.png"
"","Oppressor Badge","Potted Morning Glory Familiar","FALSE","Does Not Require Booster Packs","Max HP: +5","https://maplestorywiki.net/w/Potted_Morning_Glory#Edelstein","https://media.maplestorywiki.net/yetidb/Use_Potted_Morning_Glory_Familiar.png"
"","Oppressor Badge","Grape Juice Bottle Familiar","FALSE","Does Not Require Booster Packs","Max HP: +5","https://maplestorywiki.net/w/Grape_Juice_Bottle#Edelstein","https://media.maplestorywiki.net/yetidb/Use_Grape_Juice_Bottle_Familiar.png"
"","Secret Badge","Copper Drake Familiar","FALSE","Does Not Require Booster Packs","Attack Power: +1; Defense: +5","https://maplestorywiki.net/w/Copper_Drake#Sleepywood","https://media.maplestorywiki.net/yetidb/Use_Copper_Drake_Familiar.png"
"","Secret Badge","Drake Familiar","FALSE","Does Not Require Booster Packs","Attack Power: +1; Defense: +5","https://maplestorywiki.net/w/Drake#Sleepywood","https://media.maplestorywiki.net/yetidb/Use_Drake_Familiar.png"
"","Secret Badge","Red Drake Familiar","FALSE","Does Not Require Booster Packs","Attack Power: +1; Defense: +5","https://maplestorywiki.net/w/Red_Drake#Sleepywood","https://media.maplestorywiki.net/yetidb/Use_Red_Drake_Familiar.png"
"","Secret Badge","Ice Drake Familiar","FALSE","Does Not Require Booster Packs","Attack Power: +1; Defense: +5","https://maplestorywiki.net/w/Ice_Drake#Sleepywood","https://media.maplestorywiki.net/yetidb/Use_Ice_Drake_Familiar.png"
"","Secret Badge","Dark Drake Familiar","FALSE","Does Not Require Booster Packs","Attack Power: +1; Defense: +5","https://maplestorywiki.net/w/Dark_Drake#Sleepywood","https://media.maplestorywiki.net/yetidb/Use_Dark_Drake_Familiar.png"
"","Secret Badge","Wild Kargo Familiar","FALSE","Does Not Require Booster Packs","Attack Power: +1; Defense: +5","https://maplestorywiki.net/w/Wild_Kargo#Sleepywood","https://media.maplestorywiki.net/yetidb/Use_Wild_Kargo_Familiar.png"
"","Secret Badge","Tauromacis Familiar","FALSE","Does Not Require Booster Packs","Attack Power: +1; Defense: +5","https://maplestorywiki.net/w/Tauromacis#Sleepywood","https://media.maplestorywiki.net/yetidb/Use_Tauromacis_Familiar.png"
"","Secret Badge","Taurospear Familiar","FALSE","Does Not Require Booster Packs","Attack Power: +1; Defense: +5","https://maplestorywiki.net/w/Taurospear#Sleepywood","https://media.maplestorywiki.net/yetidb/Use_Taurospear_Familiar.png"
"","Secret Badge","Jr. Balrog Familiar","FALSE","Does Not Require Booster Packs","Attack Power: +1; Defense: +5","https://maplestorywiki.net/w/Jr._Balrog#Sleepywood","https://media.maplestorywiki.net/yetidb/Use_Jr._Balrog_Familiar.png"
"","Secret Badge","Snack Bar Familiar","FALSE","Does Not Require Booster Packs","Attack Power: +1; Defense: +5","https://maplestorywiki.net/w/Snack_Bar#Sleepywood","https://media.maplestorywiki.net/yetidb/Use_Snack_Bar_Familiar.png"
"","Mesa Badge","Jr. Boogie Familiar","FALSE","Does Not Require Booster Packs","STR: +2","https://maplestorywiki.net/w/Jr._Boogie#Perion","https://media.maplestorywiki.net/yetidb/Use_Jr._Boogie_Familiar.png"
"","Mesa Badge","Stump Familiar","FALSE","Does Not Require Booster Packs","STR: +2","https://maplestorywiki.net/w/Stump#Perion","https://media.maplestorywiki.net/yetidb/Use_Stump_Familiar.png"
"","Mesa Badge","Dark Stump Familiar","FALSE","Does Not Require Booster Packs","STR: +2","https://maplestorywiki.net/w/Dark_Stump#Perion","https://media.maplestorywiki.net/yetidb/Use_Dark_Stump_Familiar.png"
"","Mesa Badge","Axe Stump Familiar","FALSE","Does Not Require Booster Packs","STR: +2","https://maplestorywiki.net/w/Axe_Stump#Perion","https://media.maplestorywiki.net/yetidb/Use_Axe_Stump_Familiar.png"
"","Mesa Badge","Dark Axe Stump Familiar","FALSE","Does Not Require Booster Packs","STR: +2","https://maplestorywiki.net/w/Dark_Axe_Stump#Perion","https://media.maplestorywiki.net/yetidb/Use_Dark_Axe_Stump_Familiar.png"
"","Mesa Badge","Ghost Stump Familiar","FALSE","Does Not Require Booster Packs","STR: +2","https://maplestorywiki.net/w/Ghost_Stump#Perion","https://media.maplestorywiki.net/yetidb/Use_Ghost_Stump_Familiar.png"
"","Mesa Badge","Smirking Ghost Stump Familiar","FALSE","Does Not Require Booster Packs","STR: +2","https://maplestorywiki.net/w/Smirking_Ghost_Stump#Perion","https://media.maplestorywiki.net/yetidb/Use_Smirking_Ghost_Stump_Familiar.png"
"","Mesa Badge","Stumpy Familiar","FALSE","Does Not Require Booster Packs","STR: +2","https://maplestorywiki.net/w/Stumpy#Perion","https://media.maplestorywiki.net/yetidb/Use_Stumpy_Familiar.png"
"","Mesa Badge","Wild Boar Familiar","FALSE","Does Not Require Booster Packs","STR: +2","https://maplestorywiki.net/w/Wild_Boar#Perion","https://media.maplestorywiki.net/yetidb/Use_Wild_Boar_Familiar.png"
"","Mesa Badge","Terrified Wild Boar Familiar","FALSE","Does Not Require Booster Packs","STR: +2","https://maplestorywiki.net/w/Terrified_Wild_Boar#Perion","https://media.maplestorywiki.net/yetidb/Use_Terrified_Wild_Boar_Familiar.png"
"","Mesa Badge","Iron Hog Familiar","FALSE","Does Not Require Booster Packs","STR: +2","https://maplestorywiki.net/w/Iron_Hog#Perion","https://media.maplestorywiki.net/yetidb/Use_Iron_Hog_Familiar.png"
"","Mesa Badge","Iron Boar Familiar","FALSE","Does Not Require Booster Packs","STR: +2","https://maplestorywiki.net/w/Iron_Boar#Perion","https://media.maplestorywiki.net/yetidb/Use_Iron_Boar_Familiar.png"
"","Mesa Badge","Fire Boar Familiar","FALSE","Does Not Require Booster Packs","STR: +2","https://maplestorywiki.net/w/Fire_Boar#Perion","https://media.maplestorywiki.net/yetidb/Use_Fire_Boar_Familiar.png"
"","Mesa Badge","Wooden Mask Familiar","FALSE","Does Not Require Booster Packs","STR: +2","https://maplestorywiki.net/w/Wooden_Mask#Perion","https://media.maplestorywiki.net/yetidb/Use_Wooden_Mask_Familiar.png"
"","Mesa Badge","Rocky Mask Familiar","FALSE","Does Not Require Booster Packs","STR: +2","https://maplestorywiki.net/w/Rocky_Mask#Perion","https://media.maplestorywiki.net/yetidb/Use_Rocky_Mask_Familiar.png"
"","Mesa Badge","Skeledog Familiar","FALSE","Does Not Require Booster Packs","STR: +2","https://maplestorywiki.net/w/Skeledog#Perion","https://media.maplestorywiki.net/yetidb/Use_Skeledog_Familiar.png"
"","Mesa Badge","Mummydog Familiar","FALSE","Does Not Require Booster Packs","STR: +2","https://maplestorywiki.net/w/Mummydog#Perion","https://media.maplestorywiki.net/yetidb/Use_Mummydog_Familiar.png"
"","Mesa Badge","Skeleton Soldier Familiar","FALSE","Does Not Require Booster Packs","STR: +2","https://maplestorywiki.net/w/Skeleton_Soldier#Perion","https://media.maplestorywiki.net/yetidb/Use_Skeleton_Soldier_Familiar.png"
"","Mesa Badge","Skeleton Officer Familiar","FALSE","Does Not Require Booster Packs","STR: +2","https://maplestorywiki.net/w/Skeleton_Officer#Perion","https://media.maplestorywiki.net/yetidb/Use_Skeleton_Officer_Familiar.png"
"","Mesa Badge","Skeleton Commander Familiar","FALSE","Does Not Require Booster Packs","STR: +2","https://maplestorywiki.net/w/Skeleton_Commander#Perion","https://media.maplestorywiki.net/yetidb/Use_Skeleton_Commander_Familiar.png"
"","Peaceful Badge","Orange Mushroom Familiar","FALSE","Does Not Require Booster Packs","DEX: +2","https://maplestorywiki.net/w/Orange_Mushroom#Henesys","https://media.maplestorywiki.net/yetidb/Use_Orange_Mushroom_Familiar.png"
